Experiment,Year,Field#,PlotID,Rotation,Rep,N-Old,Nitro,Pedigree,HYB,Source,Plot#,Range,Row,Root#,PlotiD
2023_Rotational Plots,2023,109,10902,4Year,1,N2,N2,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3212,7,7,1,10902
2023_Rotational Plots,2023,109,10903,4Year,1,N2,N2,B73xPHG47,NREC02,2021MOB:1556-61,3213,7,11,1,10903
2023_Rotational Plots,2023,109,10904,4Year,1,N2,N2,Z031E0021xPHZ51,NREC07,2021MOB:1596,3214,7,15,1,10904
2023_Rotational Plots,2023,109,10905,4Year,1,N2,N2,Z031E0047xMo17,NREC09,2021MOB:1612-17,3215,7,19,1,10905
2023_Rotational Plots,2023,109,10906,4Year,1,N2,N2,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3220,8,3,1,10906
2023_Rotational Plots,2023,109,10907,4Year,1,N2,N2,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3219,8,7,1,10907
2023_Rotational Plots,2023,109,10908,4Year,1,N2,N2,B73xPH207,NREC04,2021MOB:1572-77,3218,8,11,1,10908
2023_Rotational Plots,2023,109,10909,4Year,1,N2,N2,B73XMo17,NREC01,2021MOB:1548-53,3217,8,15,1,10909
2023_Rotational Plots,2023,109,10910,4Year,1,N2,N2,B73xPHZ51,NREC03,2021MOB:1564-69,3216,8,19,1,10910
2023_Rotational Plots,2023,109,10911,4Year,1,N2,N2,Z031E0047xPH207,NREC12,2021MOB:1636-41,3221,9,3,1,10911
2023_Rotational Plots,2023,109,10912,4Year,1,N2,N2,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3222,9,7,1,10912
2023_Rotational Plots,2023,109,10913,4Year,1,N2,N2,PH5141,CHECK7,Prairie Hyb,3223,9,11,1,10913
2023_Rotational Plots,2023,109,10914,4Year,1,N2,N2,Z031E0021xPH207,NREC08,2021MOB:1604-09,3224,9,15,1,10914
2023_Rotational Plots,2023,109,10915,4Year,1,N2,N2,BR64K93,CHECK4,Blue River Hybrid,3225,9,19,1,10915
2023_Rotational Plots,2023,210,21001,4Year,2,N2,N2,B73xPHZ51,NREC03,2021MOB:1564-69,3226,1,3,1,21001
2023_Rotational Plots,2023,210,21002,4Year,2,N2,N2,PH5141,CHECK7,Prairie Hyb,3227,1,7,1,21002
2023_Rotational Plots,2023,210,21003,4Year,2,N2,N2,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3228,1,11,1,21003
2023_Rotational Plots,2023,210,21004,4Year,2,N2,N2,Z031E0047xMo17,NREC09,2021MOB:1612-17,3229,1,15,1,21004
2023_Rotational Plots,2023,210,21005,4Year,2,N2,N2,B73xPH207,NREC04,2021MOB:1572-77,3230,1,19,1,21005
2023_Rotational Plots,2023,210,21006,4Year,2,N2,N2,PH6878,CHECK5,Prairie Hyb,3235,2,3,1,21006
2023_Rotational Plots,2023,210,21007,4Year,2,N2,N2,Z031E0021xPH207,NREC08,2021MOB:1604-09,3234,2,7,1,21007
2023_Rotational Plots,2023,210,21008,4Year,2,N2,N2,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3233,2,11,1,21008
2023_Rotational Plots,2023,210,21009,4Year,2,N2,N2,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3232,2,15,1,21009
2023_Rotational Plots,2023,210,21010,4Year,2,N2,N2,BR64K93,CHECK4,Blue River Hybrid,3231,2,19,1,21010
2023_Rotational Plots,2023,210,21011,4Year,2,N2,N2,Z031E0021xPHZ51,NREC07,2021MOB:1596,3236,3,3,1,21011
2023_Rotational Plots,2023,210,21012,4Year,2,N2,N2,B73xPHG47,NREC02,2021MOB:1556-61,3237,3,7,1,21012
2023_Rotational Plots,2023,210,21013,4Year,2,N2,N2,B73XMo17,NREC01,2021MOB:1548-53,3238,3,11,1,21013
2023_Rotational Plots,2023,210,21014,4Year,2,N2,N2,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3239,3,15,1,21014
2023_Rotational Plots,2023,210,21015,4Year,2,N2,N2,Z031E0047xPH207,NREC12,2021MOB:1636-41,3240,3,19,1,21015
2023_Rotational Plots,2023,211,21101,4Year,2,N1,N1,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3245,4,3,1,21101
2023_Rotational Plots,2023,211,21102,4Year,2,N1,N1,Z031E0047xMo17,NREC09,2021MOB:1612-17,3244,4,7,1,21102
2023_Rotational Plots,2023,211,21103,4Year,2,N1,N1,PH5141,CHECK7,Prairie Hyb,3243,4,11,1,21103
